Monday, 3 September 2018	10:48:06 AM
Time(s)	SPH-1	SN-1	SC-1	ST-1	SP-1	AVP-1	AR-1	AA-1	AB-1	AB-2	AVS-1	AVS-2	AVS-3
0.000	0.000	120.207	0.533	25.760	127.861	40.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
1.000	0.000	120.185	0.533	25.765	127.857	40.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
2.000	0.000	120.189	0.537	25.768	127.864	40.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
3.000	0.000	120.181	0.538	25.772	127.872	40.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
4.000	0.000	120.171	0.535	25.780	127.874	40.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
5.000	0.000	120.183	0.532	25.785	127.871	40.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
6.000	0.000	120.163	0.533	25.792	127.895	40.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
7.000	0.000	120.146	0.531	25.804	127.912	39.677	0.000	0.000	1.000	0.000	0.000	1.000	0.000
8.000	0.000	120.126	0.536	25.813	127.906	89.328	0.000	0.000	1.000	0.000	0.000	1.000	0.000
9.000	0.000	120.121	0.532	25.824	127.903	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
10.000	0.000	120.140	0.533	25.828	127.929	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
11.000	0.000	120.130	0.532	25.834	127.929	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
12.000	0.000	120.108	0.532	25.842	127.941	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
13.000	0.000	120.114	0.529	25.848	127.973	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
14.000	0.000	120.099	0.571	25.851	127.993	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
15.000	0.000	120.068	0.591	25.854	127.981	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
16.000	0.000	120.055	0.605	25.861	128.025	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
17.000	0.000	120.056	0.611	25.865	128.054	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
18.000	0.000	120.056	0.609	25.866	128.069	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
19.000	0.000	120.056	0.615	25.868	128.118	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
20.000	0.000	120.061	0.616	25.866	128.159	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
21.000	0.000	120.075	0.617	25.863	128.200	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
22.000	0.000	120.088	0.623	25.861	128.253	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
23.000	0.000	120.107	0.619	25.862	128.303	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
24.000	0.000	120.124	0.617	25.857	128.354	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
25.000	0.000	120.125	0.611	25.858	128.370	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
