Monday, 3 September 2018	10:32:28 AM
Time(s)	SPH-1	SN-1	SC-1	ST-1	SP-1	AVP-1	AR-1	AA-1	AB-1	AB-2	AVS-1	AVS-2	AVS-3
0.000	0.000	117.768	0.000	24.790	125.393	48.605	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.000	0.000	117.742	0.000	24.758	125.414	54.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.000	0.000	117.691	0.000	24.729	125.424	61.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.000	0.000	117.680	0.000	24.704	125.419	66.824	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.000	0.000	117.655	0.000	24.673	125.423	72.648	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.000	0.000	117.637	0.000	24.650	125.423	79.695	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.000	0.000	117.624	0.000	24.620	125.415	85.619	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7.000	0.000	117.613	0.000	24.591	125.413	92.751	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8.000	0.000	117.597	0.000	24.553	125.418	98.746	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9.000	0.000	117.570	0.000	24.510	125.425	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	0.000	117.562	0.000	24.468	125.417	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11.000	0.000	117.565	0.000	24.422	125.409	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12.000	0.000	117.564	0.000	24.381	125.423	100.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
