Tuesday, 4 September 2018	10:40:07 AM
Time(s)	SPH-1	SN-1	SC-1	ST-1	SP-1	AVP-1	AR-1	AA-1	AB-1	AB-2	AVS-1	AVS-2	AVS-3
0.000	0.000	121.007	0.640	27.451	131.317	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
5.000	0.000	120.999	0.637	27.478	131.244	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
10.000	0.000	121.005	0.639	27.495	131.164	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
15.000	0.000	120.949	0.628	27.504	131.122	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
20.000	0.000	120.844	0.624	27.524	131.022	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
25.000	0.000	120.862	0.623	27.533	130.974	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
30.000	0.000	120.867	0.617	27.551	130.842	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
35.000	0.000	120.789	0.623	27.549	130.754	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
40.000	0.000	120.763	0.618	27.559	130.663	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
45.000	0.000	120.741	0.625	27.562	130.566	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
50.000	0.000	120.706	0.617	27.558	130.471	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
55.000	0.000	120.673	0.615	27.557	130.376	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
60.000	0.000	120.601	0.617	27.567	130.277	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
65.000	0.000	120.593	0.618	27.566	130.155	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
70.000	0.000	120.533	0.613	27.567	130.066	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
75.000	0.000	120.556	0.614	27.567	129.953	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
80.000	0.000	120.558	0.613	27.557	129.833	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
85.000	0.000	120.437	0.621	27.544	129.724	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
90.000	0.000	120.412	0.618	27.532	129.651	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
95.000	0.000	120.428	0.608	27.531	129.543	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
100.000	0.000	120.373	0.613	27.526	129.419	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
105.000	0.000	120.243	0.617	27.528	129.301	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
110.000	0.000	120.207	0.616	27.522	129.220	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
115.000	0.000	120.138	0.607	27.529	129.114	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
120.000	0.000	120.151	0.613	27.531	129.005	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
125.000	0.000	120.066	0.610	27.529	128.912	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
130.000	0.000	120.023	0.610	27.527	128.799	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
135.000	0.000	119.955	0.642	27.514	128.756	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
140.000	0.000	119.908	0.639	27.509	128.681	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
145.000	0.000	119.915	0.640	27.503	128.631	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
150.000	0.000	119.875	0.644	27.500	128.583	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
155.000	0.000	119.842	0.646	27.491	128.533	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
160.000	0.000	119.810	0.645	27.479	128.488	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
165.000	0.000	119.755	0.638	27.469	128.423	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
170.000	0.000	119.693	0.641	27.465	128.375	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
175.000	0.000	119.622	0.635	27.460	128.335	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
180.000	0.000	119.605	0.641	27.445	128.280	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
185.000	0.000	119.558	0.647	27.435	128.218	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
190.000	0.000	119.553	0.641	27.436	128.157	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
195.000	0.000	119.429	0.641	27.432	128.112	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
200.000	0.000	119.410	0.966	27.434	128.092	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
205.000	0.000	119.611	1.049	27.433	128.763	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
210.000	0.000	119.737	1.056	27.462	129.503	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
215.000	0.000	120.032	1.048	27.511	130.250	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
220.000	0.000	120.342	1.052	27.557	130.954	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
225.000	0.000	120.830	1.023	27.601	131.675	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
230.000	0.000	121.356	1.023	27.627	132.335	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
235.000	0.000	121.831	1.022	27.656	133.030	100.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
