Tuesday, 4 September 2018	9:41:51 AM
Time(s)	SPH-1	SN-1	SC-1	ST-1	SP-1	AVP-1	AR-1	AA-1	AB-1	AB-2	AVS-1	AVS-2	AVS-3
0.000	0.000	126.337	0.647	25.354	135.176	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
1.000	0.000	126.322	0.640	25.354	135.177	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
2.000	0.000	126.341	0.640	25.353	135.148	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
3.000	0.000	126.343	0.643	25.357	135.124	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
5.000	0.000	126.325	0.649	25.363	135.101	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
10.000	0.000	126.275	0.643	25.366	135.104	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
15.000	0.000	126.227	0.642	25.375	135.055	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
20.000	0.000	126.132	0.641	25.378	134.993	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
25.000	0.000	126.091	0.638	25.390	134.963	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
30.000	0.000	126.005	0.647	25.390	134.850	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
35.000	0.000	125.951	0.650	25.397	134.827	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
40.000	0.000	125.934	0.639	25.406	134.790	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
45.000	0.000	125.922	0.644	25.413	134.733	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
50.000	0.000	125.854	0.643	25.414	134.677	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
55.000	0.000	125.810	0.639	25.417	134.615	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
60.000	0.000	125.787	0.638	25.422	134.550	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
65.000	0.000	125.659	0.641	25.431	134.493	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
70.000	0.000	125.610	0.647	25.439	134.422	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
75.000	0.000	125.568	0.642	25.441	134.381	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
80.000	0.000	125.505	0.641	25.444	134.309	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
85.000	0.000	125.407	0.639	25.449	134.252	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
90.000	0.000	125.407	0.638	25.452	134.191	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
95.000	0.000	125.331	0.641	25.458	134.142	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
100.000	0.000	125.261	0.640	25.463	134.079	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
105.000	0.000	125.183	0.646	25.468	134.041	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
110.000	0.000	125.186	0.638	25.476	133.987	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
115.000	0.000	125.075	0.640	25.478	133.941	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
120.000	0.000	124.979	0.645	25.481	133.877	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
125.000	0.000	124.977	0.645	25.485	133.821	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
130.000	0.000	124.903	0.646	25.493	133.778	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
135.000	0.000	124.812	0.644	25.498	133.721	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
140.000	0.000	124.773	0.648	25.506	133.663	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
145.000	0.000	124.803	0.642	25.505	133.631	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
150.000	0.000	124.728	0.648	25.507	133.533	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
155.000	0.000	124.650	0.639	25.510	133.506	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
160.000	0.000	124.538	0.642	25.514	133.433	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
165.000	0.000	124.605	0.640	25.517	133.382	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
170.000	0.000	124.487	0.643	25.524	133.314	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
175.000	0.000	124.426	0.647	25.533	133.316	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
180.000	0.000	124.372	0.641	25.544	133.237	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
185.000	0.000	124.385	0.643	25.551	133.198	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
190.000	0.000	124.367	0.641	25.558	133.145	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
195.000	0.000	124.252	0.640	25.562	133.051	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
200.000	0.000	124.251	0.645	25.574	133.022	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
205.000	0.000	124.297	0.647	25.569	132.961	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
210.000	0.000	124.179	0.641	25.574	132.907	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
215.000	0.000	124.147	0.645	25.580	132.874	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
220.000	0.000	124.109	0.642	25.593	132.835	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
225.000	0.000	124.041	0.642	25.586	132.774	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
230.000	0.000	123.949	0.650	25.584	132.706	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
235.000	0.000	123.920	0.645	25.588	132.680	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
240.000	0.000	123.861	0.647	25.591	132.624	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
245.000	0.000	123.794	0.642	25.604	132.579	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
250.000	0.000	123.771	0.647	25.610	132.497	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
255.000	0.000	123.682	0.642	25.614	132.461	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
260.000	0.000	123.633	0.642	25.620	132.391	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
265.000	0.000	123.556	0.651	25.628	132.358	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
270.000	0.000	123.487	0.649	25.638	132.287	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
275.000	0.000	123.478	0.648	25.643	132.244	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
280.000	0.000	123.393	0.650	25.642	132.186	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
285.000	0.000	123.331	0.645	25.646	132.110	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
290.000	0.000	123.347	0.642	25.651	132.080	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
295.000	0.000	123.271	0.648	25.644	132.031	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
300.000	0.000	123.254	0.641	25.634	131.997	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
305.000	0.000	123.221	0.643	25.641	131.957	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
310.000	0.000	123.122	0.646	25.649	131.886	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
315.000	0.000	123.118	0.643	25.656	131.839	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
320.000	0.000	123.088	0.638	25.666	131.795	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
325.000	0.000	123.043	0.645	25.676	131.725	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
330.000	0.000	123.019	0.638	25.687	131.706	30.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000
