Tuesday, 4 September 2018	11:10:15 AM
Time(s)	SPH-1	SN-1	SC-1	ST-1	SP-1	AVP-1	AR-1	AA-1	AB-1	AB-2	AVS-1	AVS-2	AVS-3
0.000	0.000	70.188	0.000	24.173	79.636	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
5.000	0.000	69.438	0.269	24.233	78.278	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
10.000	0.000	68.915	0.684	24.278	78.124	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
15.000	0.000	68.802	0.682	24.344	78.558	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
20.000	0.000	69.047	0.684	24.412	80.047	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
25.000	0.000	69.904	0.691	24.489	81.602	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
30.000	0.000	70.995	0.690	24.568	83.176	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
35.000	0.000	72.244	0.696	24.653	84.722	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
40.000	0.000	73.694	0.696	24.729	86.252	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
45.000	0.000	75.319	0.691	24.804	87.824	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
50.000	0.000	76.926	0.686	24.880	89.354	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
55.000	0.000	78.439	0.696	24.951	90.903	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
60.000	0.000	80.023	0.693	25.016	92.438	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
65.000	0.000	81.613	0.685	25.090	93.982	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
70.000	0.000	83.175	0.693	25.163	95.531	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
75.000	0.000	84.822	0.689	25.232	97.071	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
80.000	0.000	86.451	0.688	25.306	98.602	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
85.000	0.000	88.028	0.693	25.380	100.133	30.769	0.000	0.000	1.000	0.000	0.000	0.000	0.000
