Wednesday, 5 September 2018	9:52:46 AM
Time(s)	SPH-1	SN-1	SC-1	ST-1	SP-1	AVP-1	AR-1	AA-1	AB-1	AB-2	AVS-1	AVS-2	AVS-3
0.000	0.000	142.035	0.000	25.149	151.729	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.000	0.000	142.016	0.000	25.154	151.746	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.000	0.000	142.028	0.000	25.152	151.750	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.000	0.000	142.011	0.000	25.153	151.741	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.000	0.000	142.016	0.000	25.149	151.733	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.000	0.000	142.027	0.000	25.148	151.755	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.000	0.000	142.015	0.000	25.148	151.767	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7.000	0.000	142.019	0.000	25.148	151.761	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8.000	0.000	142.025	0.000	25.151	151.772	50.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
622.000	0.000	119.712	0.640	25.501	130.114	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
623.000	0.000	119.700	0.635	25.500	130.105	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
624.000	0.000	119.746	0.639	25.498	130.113	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
625.000	0.000	119.773	0.639	25.499	130.117	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
626.000	0.000	119.792	0.634	25.500	130.116	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
627.000	0.000	119.799	0.634	25.503	130.104	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
628.000	0.000	119.779	0.638	25.502	130.091	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
629.000	0.000	119.743	0.635	25.503	130.081	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
630.000	0.000	119.734	0.639	25.503	130.077	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
631.000	0.000	119.744	0.636	25.506	130.071	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
632.000	0.000	119.760	0.638	25.507	130.059	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
633.000	0.000	119.764	0.632	25.511	130.056	30.769	0.000	0.000	1.000	0.000	0.000	1.000	0.000
