Friday, 28 September 2018	11:52:31 AM
Time(s)	SPH-1	SN-1	SC-1	ST-1	SP-1	AVP-1	AR-1	AA-1	AB-1	AB-2	AVS-1	AVS-2	AVS-3
0.000	0.000	32.463	0.000	25.281	6.099	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.000	0.000	32.435	0.000	25.278	6.118	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.000	0.000	32.421	0.000	25.280	6.115	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.000	0.000	32.405	0.000	25.283	6.115	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.000	0.000	32.407	0.000	25.284	6.111	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.000	0.000	32.399	0.000	25.283	6.087	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.000	0.000	32.392	0.000	25.280	6.090	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7.000	0.000	32.388	0.000	25.281	6.115	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8.000	0.000	32.392	0.000	25.279	6.105	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9.000	0.000	32.390	0.000	25.283	6.116	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	0.000	32.395	0.000	25.290	6.147	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11.000	0.000	32.386	0.000	25.297	6.154	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12.000	0.000	32.383	0.000	25.287	6.125	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13.000	0.000	32.391	0.000	25.284	6.122	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
14.000	0.000	32.406	0.000	25.280	6.108	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15.000	0.000	32.406	0.000	25.282	6.112	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16.000	0.000	32.405	0.000	25.284	6.116	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17.000	0.000	32.393	0.000	25.283	6.111	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18.000	0.000	32.389	0.000	25.285	6.116	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19.000	0.000	32.388	0.000	25.285	6.120	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.000	0.000	32.383	0.000	25.284	6.137	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.000	0.000	32.385	0.000	25.280	6.131	27.692	0.000	0.000	0.000	0.000	0.000	0.000	0.000
